latitude_client_1,longitude_client_1,latitude_client_2,longitude_client_2,distance
52.0103,4.34802,52.02093,4.3639,1608.1655
52.0103,4.34802,52.01948,4.37842,2323.0948
52.0103,4.34802,52.01605,4.35325,733.5236
52.0103,4.34802,52.00821,4.35985,844.4323
52.0103,4.34802,52.01007,4.37155,1615.3347
52.0103,4.34802,52.01079,4.38914,2823.5839
52.0103,4.34802,52.00507,4.35946,977.0244
51.99911,4.37031,51.98723,4.3492,1962.9358
51.99911,4.37031,51.99165,4.34836,1721.3884
51.99911,4.37031,51.99031,4.35893,1253.6948
51.99911,4.37031,51.98998,4.37647,1100.2885
51.99911,4.37031,52.0103,4.34802,1972.5915
51.99911,4.37031,52.00114,4.35674,959.0553
51.99911,4.37031,52.02149,4.34939,2874.5792
51.99911,4.37031,52.02093,4.3639,2466.7038
51.99911,4.37031,52.01948,4.37842,2333.358
51.99911,4.37031,52.01605,4.35325,2219.2628
51.99911,4.37031,52.00821,4.35985,1241.2477
51.99911,4.37031,52.01007,4.37155,1221.5006
51.99911,4.37031,52.01079,4.38914,1832.7871
51.99911,4.37031,52.00507,4.35946,997.5125
52.00114,4.35674,51.98723,4.3492,1632.8215
52.00114,4.35674,51.99165,4.34836,1202.9919
52.00114,4.35674,51.99031,4.35893,1215.1085
52.00114,4.35674,51.98998,4.37647,1837.8027
52.00114,4.35674,52.0103,4.34802,1181.6591
52.00114,4.35674,51.99911,4.37031,959.0553
52.00114,4.35674,52.02149,4.34939,2319.7044
52.00114,4.35674,52.02093,4.3639,2255.7414
52.00114,4.35674,52.01948,4.37842,2525.604
52.00114,4.35674,52.01605,4.35325,1676.2598
52.00114,4.35674,52.00821,4.35985,814.9932
52.00114,4.35674,52.01007,4.37155,1421.3009
52.00114,4.35674,52.01079,4.38914,2470.3591
52.00114,4.35674,52.00507,4.35946,475.3683
52.02149,4.34939,51.98723,4.3492,3812.6151
52.02149,4.34939,51.99165,4.34836,3321.3178
52.02149,4.34939,51.99031,4.35893,3531.2029
52.02149,4.34939,51.98998,4.37647,3968.2844
52.02149,4.34939,52.0103,4.34802,1248.5994
52.02149,4.34939,51.99911,4.37031,2874.5792
52.02149,4.34939,52.00114,4.35674,2319.7044
52.02149,4.34939,52.02093,4.3639,998.4048
52.02149,4.34939,52.01948,4.37842,2005.436
52.02149,4.34939,52.01605,4.35325,660.5648
52.02149,4.34939,52.00821,4.35985,1642.9441
52.02149,4.34939,52.01007,4.37155,1982.703
52.02149,4.34939,52.01079,4.38914,2977.8396
52.02149,4.34939,52.00507,4.35946,1953.3785
52.02093,4.3639,51.98723,4.3492,3883.5298
52.02093,4.3639,51.99165,4.34836,3428.2564
52.02093,4.3639,51.99031,4.35893,3424.2926
52.02093,4.3639,51.98998,4.37647,3549.3906
52.02093,4.3639,52.0103,4.34802,1608.1655
52.02093,4.3639,51.99911,4.37031,2466.7038
52.02093,4.3639,52.00114,4.35674,2255.7414
52.02093,4.3639,52.02149,4.34939,998.4048
52.02093,4.3639,52.01948,4.37842,1009.4087
52.02093,4.3639,52.01605,4.35325,910.706
52.02093,4.3639,52.00821,4.35985,1442.0612
52.02093,4.3639,52.01007,4.37155,1317.6875
52.02093,4.3639,52.01079,4.38914,2067.746
52.02093,4.3639,52.00507,4.35946,1790.4834
52.01948,4.37842,51.98723,4.3492,4111.712
52.01948,4.37842,51.99165,4.34836,3721.5686
52.01948,4.37842,51.99031,4.35893,3511.1343
52.01948,4.37842,51.98998,4.37647,3284.486
52.01948,4.37842,52.0103,4.34802,2323.0948
52.01948,4.37842,51.99911,4.37031,2333.358
52.01948,4.37842,52.00114,4.35674,2525.604
52.01948,4.37842,52.02149,4.34939,2005.436
52.01948,4.37842,52.02093,4.3639,1009.4087
52.01948,4.37842,52.01605,4.35325,1769.6269
52.01948,4.37842,52.00821,4.35985,1788.1231
52.01948,4.37842,52.01007,4.37155,1148.719
52.01948,4.37842,52.01079,4.38914,1215.4876
52.01948,4.37842,52.00507,4.35946,2065.1561
52.01605,4.35325,51.98723,4.3492,3219.5285
52.01605,4.35325,51.99165,4.34836,2736.1205
52.01605,4.35325,51.99031,4.35893,2891.2361
52.01605,4.35325,51.98998,4.37647,3309.9565
52.01605,4.35325,52.0103,4.34802,733.5236
52.01605,4.35325,51.99911,4.37031,2219.2628
52.01605,4.35325,52.00114,4.35674,1676.2598
52.01605,4.35325,52.02149,4.34939,660.5648
52.01605,4.35325,52.02093,4.3639,910.706
52.01605,4.35325,52.01948,4.37842,1769.6269
52.01605,4.35325,52.00821,4.35985,983.2534
52.01605,4.35325,52.01007,4.37155,1422.271
52.01605,4.35325,52.01079,4.38914,2533.1645
52.01605,4.35325,52.00507,4.35946,1294.1058
52.00821,4.35985,51.98723,4.3492,2446.9092
52.00821,4.35985,51.99165,4.34836,2004.7415
52.00821,4.35985,51.99031,4.35893,1993.2672
52.00821,4.35985,51.98998,4.37647,2327.0936
52.00821,4.35985,52.0103,4.34802,844.4323
52.00821,4.35985,51.99911,4.37031,1241.2477
52.00821,4.35985,52.00114,4.35674,814.9932
52.00821,4.35985,52.02149,4.34939,1642.9441
52.00821,4.35985,52.02093,4.3639,1442.0612
52.00821,4.35985,52.01948,4.37842,1788.1231
52.00821,4.35985,52.01605,4.35325,983.2534
52.00821,4.35985,52.01007,4.37155,829.4458
52.00821,4.35985,52.01079,4.38914,2031.6667
52.00821,4.35985,52.00507,4.35946,350.3578
52.01007,4.37155,51.98723,4.3492,2969.0076
52.01007,4.37155,51.99165,4.34836,2595.3167
52.01007,4.37155,51.99031,4.35893,2363.2844
52.01007,4.37155,51.98998,4.37647,2259.7059
52.01007,4.37155,52.0103,4.34802,1615.3347
52.01007,4.37155,51.99911,4.37031,1221.5006
52.01007,4.37155,52.00114,4.35674,1421.3009
52.01007,4.37155,52.02149,4.34939,1982.703
52.01007,4.37155,52.02093,4.3639,1317.6875
52.01007,4.37155,52.01948,4.37842,1148.719
52.01007,4.37155,52.01605,4.35325,1422.271
52.01007,4.37155,52.00821,4.35985,829.4458
52.01007,4.37155,52.01079,4.38914,1210.6238
52.01007,4.37155,52.00507,4.35946,999.1078
52.01079,4.38914,51.98723,4.3492,3794.6118
52.01079,4.38914,51.99165,4.34836,3518.377
52.01079,4.38914,51.99031,4.35893,3082.0069
52.01079,4.38914,51.98998,4.37647,2472.8499
52.01079,4.38914,52.0103,4.34802,2823.5839
52.01079,4.38914,51.99911,4.37031,1832.7871
52.01079,4.38914,52.00114,4.35674,2470.3591
52.01079,4.38914,52.02149,4.34939,2977.8396
52.01079,4.38914,52.02093,4.3639,2067.746
52.01079,4.38914,52.01948,4.37842,1215.4876
52.01079,4.38914,52.01605,4.35325,2533.1645
52.01079,4.38914,52.00821,4.35985,2031.6667
52.01079,4.38914,52.01007,4.37155,1210.6238
52.01079,4.38914,52.00507,4.35946,2135.2532
52.00507,4.35946,51.98723,4.3492,2106.9928
52.00507,4.35946,51.99165,4.34836,1676.8143
52.00507,4.35946,51.99031,4.35893,1643.3443
52.00507,4.35946,51.98998,4.37647,2045.2102
52.00507,4.35946,52.0103,4.34802,977.0244
52.00507,4.35946,51.99911,4.37031,997.5125
52.00507,4.35946,52.00114,4.35674,475.3683
52.00507,4.35946,52.02149,4.34939,1953.3785
52.00507,4.35946,52.02093,4.3639,1790.4834
52.00507,4.35946,52.01948,4.37842,2065.1561
52.00507,4.35946,52.01605,4.35325,1294.1058
52.00507,4.35946,52.00821,4.35985,350.3578
52.00507,4.35946,52.01007,4.37155,999.1078
52.00507,4.35946,52.01079,4.38914,2135.2532
